sex,year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2005,1842522,1856223,1875305,1898134,1923691,1951727,1980446,2011310,2045021,2081855,2122015,2152779,2190296,2220127,2227299,2183947,2123402,2087662,2074898,2073744,2047452,2046595,2075107,2062520,2051427,2014233,1947441,1919405,1880461,1861671,1861215,1863469,1935671,2062456,2136479,2106089,2058400,2056726,2093742,2170727,2261784,2311732,2341066,2352437,2350874,2329717,2302574,2289339,2227776,2162760,2114195,2044239,1984438,1909763,1847420,1806160,1768539,1814384,1607542,1355390,1354163,1372006,1302149,1166786,1095840,1046823,1009409,953418,902448,882084,836224,784502,760988,751054,740921,707690,676579,639417,588427,550354,513199,466566,427493,389140,338859,274511,240744,199810,167599,138661,111617,87970,67711,50463,37270,27248,19524,13740,9115,6072,10111
0,2006,1833213,1844057,1860302,1880656,1904157,1929971,1956521,1984771,2015350,2049103,2086224,2126725,2157674,2195255,2225019,2232070,2188742,2128302,2093078,2081319,2081448,2056756,2056789,2085773,2073212,2061755,2023869,1956483,1927606,1887695,1867791,1865876,1867013,1937961,2063410,2136320,2105147,2056777,2054296,2090399,2166327,2256264,2305336,2334022,2344961,2343080,2321673,2294279,2280699,2218981,2153783,2104884,2034584,1974202,1898877,1835684,1793334,1754576,1798510,1592290,1341576,1338966,1354944,1284117,1148738,1076766,1026366,987513,930824,879338,857703,811278,758997,733899,721692,709076,674255,641407,602821,551358,512197,474083,427567,388406,350297,301982,241890,209643,171762,142057,115749,91655,70975,53613,39167,28330,20275,14218,9792,6359,10602
0,2007,1826739,1834815,1848166,1865677,1886698,1910454,1934783,1960863,1988827,2019448,2053487,2090950,2131636,2162656,2200175,2229814,2236856,2193612,2133713,2099525,2089068,2090773,2067013,2067580,2096567,2083680,2071525,2033019,1964875,1935016,1894039,1872730,1869725,1869840,1939680,2063922,2135748,2103851,2054862,2051654,2086919,2161861,2250799,2299131,2327260,2337752,2335453,2313703,2285994,2272011,2210088,2144638,2095264,2024421,1963265,1887140,1822999,1779540,1739686,1781665,1576157,1326886,1322719,1336502,1264480,1129029,1056033,1004426,964412,907287,855363,832418,785194,732297,705546,691022,675918,639551,605043,565179,513463,473484,434768,388776,349928,312449,266350,210854,180408,145750,118724,95165,74044,56273,41670,29816,21113,14789,10150,6844,11134
0,2008,1822469,1828396,1838950,1853561,1871738,1893011,1915281,1939140,1964933,1992938,2023845,2058226,2095876,2136637,2167605,2205006,2234630,2241714,2198994,2140159,2107303,2098441,2101057,2077876,2078510,2107145,2093589,2080797,2041498,1972455,1941520,1899200,1876866,1872870,1872102,1940945,2063994,2134790,2102231,2052701,2048842,2083334,2157393,2245451,2293123,2320687,2330657,2327880,2305751,2277682,2263238,2201014,2135149,2085083,2013499,1951411,1874396,1809302,1764778,1723829,1763822,1558998,1311149,1305119,1316385,1243015,1107574,1033762,981243,940315,882836,830461,805943,757854,704311,675886,659043,641460,603628,567598,526660,474977,434537,395628,350555,312399,275844,232412,181646,153262,121959,97736,76984,58791,43803,31771,22258,15428,10578,7108,11833
0,2009,1819611,1824167,1832551,1844361,1859635,1878063,1897851,1919651,1943223,1969056,1997345,2028593,2063164,2100895,2141610,2172474,2209867,2239521,2247080,2205407,2147934,2116703,2108774,2111951,2088883,2089225,2117154,2102983,2089376,2049142,1979114,1946832,1903550,1880286,1875429,1873872,1941715,2063621,2133458,2100324,2050330,2045879,2079681,2152951,2240201,2287215,2314166,2323581,2320307,2297755,2269253,2254230,2191528,2125033,2074079,2001610,1938501,1860603,1794616,1749030,1706993,1744822,1540593,1294044,1285853,1294340,1219612,1084485,1010188,957021,915247,857404,804349,778162,729168,675003,644925,625774,605759,566605,529249,487510,436228,395732,357032,313243,276069,240947,200440,154497,128408,100536,79178,61219,45838,33456,23761,16296,11058,7425,12494
0,2010,1817199,1821340,1828337,1837974,1850445,1865970,1882912,1902230,1923744,1947356,1973473,2002104,2033545,2068201,2105896,2146512,2177382,2214810,2244922,2253474,2213147,2157330,2127063,2119715,2122985,2099667,2099358,2126629,2111664,2097097,2055840,1984557,1951303,1907147,1883074,1877442,1875088,1941979,2062819,2131796,2098166,2047757,2042779,2075966,2148507,2234965,2281296,2307616,2316461,2312643,2289587,2260528,2244746,2181361,2114057,2062071,1988633,1924502,1845786,1778916,1732274,1689019,1724415,1520574,1275270,1264680,1270258,1194395,1060008,985522,931788,889141,830709,776918,748990,699105,644382,612686,591276,568939,528663,490247,448069,397595,357439,319327,277092,241403,208042,170695,129616,106005,81573,63069,47817,35077,25072,17435,11708,7781,13174
0,2011,1813818,1818953,1825523,1833769,1844066,1856787,1870828,1887300,1906331,1927885,1951780,1978239,2007064,2038596,2073224,2110833,2151459,2182378,2220263,2251349,2261194,2222506,2167681,2138024,2130789,2133784,2109853,2108939,2135372,2119469,2103852,2061298,1989133,1954987,1910069,1885267,1878849,1875749,1941767,2061640,2129840,2095757,2044986,2039543,2072165,2143992,2229643,2275278,2300950,2309173,2304730,2281050,2251270,2234532,2170299,2102053,2048935,1974527,1909429,1829909,1762172,1714349,1669669,1702192,1498589,1254587,1241496,1244271,1167639,1034370,959801,905484,861719,802646,748089,718399,667679,612476,579234,555676,531185,490053,450932,408721,359443,319999,282766,242566,208685,177398,143406,107165,86152,65092,49356,36666,26345,18441,12558,8261,13900
0,2012,1808843,1815593,1823146,1830963,1839867,1850414,1861653,1875226,1891411,1910481,1932317,1956553,1983206,2012126,2043639,2078191,2115824,2156501,2187888,2226741,2259098,2270529,2232814,2178629,2149113,2141618,2143971,2119474,2117777,2143223,2126289,2109340,2065852,1992880,1957951,1912353,1886817,1879671,1875908,1941148,2060124,2127576,2093081,2042001,2036140,2068215,2139325,2224162,2269080,2294049,2301570,2296389,2271936,2241261,2223400,2158184,2088898,2034628,1959306,1893244,1812943,1744224,1695011,1648542,1677763,1474368,1231902,1216444,1216681,1139610,1007625,932972,877838,832880,773141,717839,686405,634919,579352,544694,519153,492746,451110,411683,369835,322109,283661,247816,209949,178185,149255,118754,87244,68873,51041,37928,27603,19425,13318,8886,14749
0,2013,1801820,1810637,1819793,1828591,1837065,1846219,1855284,1866056,1879342,1895566,1914918,1937096,1961527,1988279,2017187,2048635,2083224,2120918,2162058,2194422,2234538,2268459,2280810,2243715,2189698,2159950,2151828,2153582,2128341,2125713,2150072,2131820,2113896,2069544,1995878,1960252,1913977,1887769,1879974,1875630,1940142,2058230,2124963,2090110,2038775,2032526,2064061,2134449,2218446,2262588,2286776,2293491,2287434,2262048,2230326,2211189,2144882,2074538,2019159,1942931,1875919,1794727,1724826,1673857,1625264,1650835,1447811,1207361,1189820,1187764,1110366,979714,904761,848749,802548,742170,686186,653040,600896,545134,509238,481945,453950,412202,372861,331749,285839,248889,214763,179509,150140,123798,96849,69880,54117,39311,28621,20406,14068,9452,15786
0,2014,1792515,1803633,1814845,1825245,1834698,1843421,1851093,1859692,1870177,1883502,1900008,1919702,1942077,1966611,1993356,2022207,2053701,2088361,2126527,2168638,2202274,2243947,2278766,2291682,2254731,2200507,2170157,2161451,2162426,2136296,2132638,2155614,2136395,2117564,2072461,1998192,1961876,1914985,1888175,1879802,1874914,1938697,2055919,2121992,2086851,2035303,2028676,2059665,2129302,2212394,2255682,2278992,2284776,2277690,2251222,2218304,2197753,2130330,2058981,2002494,1925381,1857300,1775018,1703582,1650522,1599563,1621304,1419087,1181252,1161887,1157576,1079835,950358,875068,818143,770701,709751,653160,618375,565734,509990,473096,444364,415158,373681,334800,294713,251094,215967,183879,151483,124736,101143,77723,55024,41774,29738,21214,14820,10015,16913
0,2015,1780972,1794348,1807851,1820302,1831356,1841057,1848297,1855502,1863816,1874340,1887948,1904797,1924689,1947171,1971705,1998400,2027306,2058880,2094019,2133159,2176533,2211733,2254297,2289656,2302656,2265473,2210676,2179771,2170302,2170350,2143229,2138242,2160182,2140066,2120440,2074679,1999819,1962866,1915418,1888064,1879137,1873702,1936782,2053206,2118702,2083331,2031590,2024579,2054987,2123799,2205901,2248242,2270556,2275257,2266991,2239290,2205042,2183029,2114547,2042207,1984626,1906514,1837149,1753422,1680127,1624733,1571341,1589362,1388538,1153839,1132703,1126044,1047725,919451,843814,785993,737351,675912,618828,582533,529603,474143,436563,406753,376714,335876,297748,259194,218159,185167,155407,126060,102093,81328,61329,42572,31679,22101,15451,10582,18105
0,2016,1767327,1782823,1798571,1813312,1826416,1837718,1845938,1852711,1859631,1867983,1878789,1892739,1909788,1929789,1952276,1976767,2003525,2032520,2064581,2100699,2141105,2186035,2222134,2265229,2300647,2313352,2275568,2220245,2188606,2178226,2177240,2148830,2142864,2163833,2142934,2122608,2076198,2000794,1963250,1915289,1887408,1877921,1871980,1934444,2050169,2115157,2079576,2027630,2020192,2049939,2117840,2198861,2240139,2261306,2264775,2255172,2226102,2190488,2167049,2097523,2024214,1965408,1886078,1815047,1729552,1654179,1596391,1540784,1555390,1356474,1125182,1102202,1092872,1013921,886912,810971,752310,702525,640719,583310,545682,492726,437881,399966,369440,338943,299030,262172,225484,187307,156732,129539,103362,82253,64310,47559,32364,23606,16143,11067,19350
