sex,age,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
0,44,427667,447777,452330,448224,450602,429577,433722,424144,429074,424668,426844,429879,426697,436441,438515,440660,437252,451390,457110,452616,449148,439398
0,45,327131,425556,445422,449970,445890,448024,427610,431489,422179,428126,423742,425889,429010,425998,435395,438005,440407,437303,451133,456174,451683,448357
0,46,321500,325387,423473,443080,447496,443524,445352,425584,429096,421122,427101,422670,424882,427938,425185,434264,437747,438797,436725,450093,455198,450784
0,47,315721,320480,324028,421746,441083,445353,441579,443060,423762,428400,419865,425771,421349,423711,426685,424036,433984,437335,437749,435579,448850,454069
0,48,296043,313972,318784,321969,419442,438513,442791,439218,440397,422509,427498,418407,424363,419960,422362,425069,423746,433533,435149,436460,434279,447673
0,49,266098,294748,312664,317470,320287,417282,436115,440186,436765,439320,421171,426418,416928,422778,418519,420780,424469,422099,432629,433605,434987,432883
0,50,280079,264728,292824,310806,315710,318001,414585,433196,437127,435339,438103,419672,425266,415294,421112,416676,420099,423368,420225,431080,432102,433513
0,51,294831,278253,263210,291004,308932,313998,315957,412144,430422,435958,433740,436693,417879,423750,413440,419026,414689,418349,420899,418487,429335,430584
0,52,292581,293075,276560,261882,289218,307154,312336,313876,409504,429233,434677,432028,435195,416060,422301,411526,418145,413617,416397,418979,416622,427256
0,53,290944,290514,291045,274629,260526,287316,305385,310745,311957,407991,427753,433119,430032,433342,414078,420288,410274,415966,412599,414353,416818,414679
0,54,295103,288788,288177,288687,272346,258828,284880,303015,308476,310727,406437,426171,431414,427966,431543,411915,417801,407674,414200,410468,412247,414604
0,55,291232,292413,286237,285463,286040,269868,256808,282344,300479,306605,309050,404457,424099,429323,425663,429183,409349,415047,405633,411652,408050,409852
0,56,298547,288404,289618,283589,282856,283462,267417,255098,280207,298620,304610,307434,402299,421772,427218,423040,426815,407105,413278,402983,409028,405479
0,57,291686,295411,285165,286381,280543,279702,280460,264495,252768,278589,296511,302312,305352,399625,419272,424369,421137,424552,404513,410082,399941,406026
0,58,301482,288347,292292,282031,283432,277721,276777,277834,262074,250713,277013,294483,300039,303307,397068,416248,421274,418048,421590,401447,406989,396905
0,59,296379,297934,284924,288972,278561,280061,274533,273569,274701,260092,248549,275179,292099,297440,301110,393933,412694,418285,413786,418079,398221,403582
0,60,299038,291949,293469,280662,285213,274520,276086,271106,270150,272111,257784,246020,272936,289422,294660,298504,390634,408569,414430,410103,414452,394806
0,61,282094,294595,287913,289234,276765,281460,270602,272421,267626,267234,269339,255237,243424,270604,286788,291645,295560,387591,403992,410503,406277,410640
0,62,278744,277386,289607,283288,284696,272394,277218,266280,268483,264585,264232,266299,252498,240540,268077,283815,287742,291815,382272,399992,406410,402234
0,63,268579,273503,272331,284273,278354,279563,267505,272741,261769,265052,261141,260972,263110,249445,237561,265166,280179,284296,287893,378151,395654,402052
0,64,265272,263850,268570,267309,278917,273344,274493,262703,268259,258015,261372,257549,257324,259564,246236,234263,261985,276979,280607,284440,373677,391012
0,65,258470,259572,258227,262793,261811,272618,267684,268733,257323,263880,254270,257525,253828,253530,256004,242638,230716,257760,272739,277041,280770,368862
0,66,246078,252970,253822,252727,257042,256098,266307,262211,263217,253141,259126,250117,253426,249774,249640,252001,237902,227272,253399,268865,273212,276948
0,67,242040,240254,247026,248006,247023,251024,250310,259940,256462,258422,248694,254320,245766,249131,245669,245399,248102,234910,223208,249674,264839,269167
0,68,236154,235785,234293,240739,241980,240876,244592,244329,253516,250997,253448,244104,249078,241274,244876,241267,240493,244223,231149,219708,245779,260639
0,69,237588,229892,229456,228042,234250,235369,234266,237823,237856,247914,245245,247976,239054,243438,236534,239874,236208,235937,239238,226949,215685,241404
0,70,236231,230439,223037,222596,221576,227317,228579,227678,231115,231872,241961,239450,242375,233752,238031,231404,234988,231203,231535,234476,222578,211514
0,71,138673,228657,223347,216269,216042,215090,220228,221655,220787,224555,225799,235836,233230,236374,228327,232218,226282,229634,225937,226646,229604,217922
0,72,116604,133946,220822,216012,209159,208990,207923,212671,214248,214099,217941,219240,229349,226678,230595,222267,226297,220850,223791,220566,221388,224378
0,73,98897,112090,128956,212511,208595,201732,201447,200664,205245,207137,207185,211131,212476,222565,220240,224150,215887,220919,214820,218031,215007,215877
0,74,88944,94974,107570,124133,204150,200672,194227,193990,193399,197753,199859,200091,203958,205300,215569,213256,217297,208757,214620,208578,211993,208991
0,75,105730,84956,90602,102636,118998,195084,192100,185860,185537,185558,190086,192281,192710,196428,198252,208173,205928,210154,201705,207998,202135,205741
0,76,146778,100095,80637,86098,97629,113657,185631,183534,177459,177472,177480,182135,184451,184480,189022,190954,200649,197810,202842,194481,200923,195353
0,77,140736,138663,94580,76177,81574,92372,108069,176113,174519,168753,168995,169150,173880,175976,176371,181109,182649,192964,190254,194992,187147,193672
0,78,132190,132208,130488,89008,71941,76968,87147,102473,166350,165065,159970,160398,160446,165186,167831,168110,172528,173904,185026,182088,186803,179483
0,79,113954,123174,123470,122079,83267,67209,72108,81582,96528,156454,155476,151031,151576,151324,156621,159055,159726,163761,165649,176220,173416,178223
0,80,108184,105097,114156,114373,113673,77309,62348,67129,75960,89777,146544,145529,141591,142181,142263,147581,149952,151137,154796,156848,167232,164605
0,81,95580,99089,96627,104820,105583,105057,71215,57623,61984,70394,83035,136396,135333,131777,133121,132971,138832,139950,141761,145560,147663,157853
0,82,85956,86734,90161,87843,95765,96601,96178,65127,52758,56928,64624,76068,126124,124683,122388,123448,123467,129180,130380,132191,135903,138075
0,83,72625,77052,78099,81133,79511,86747,87499,87529,59006,47950,51698,58806,69272,115286,114744,112505,113386,114263,119275,120731,122428,126198
0,84,63358,64313,68573,69518,72624,71258,77767,78742,78801,52838,43204,46605,53035,62311,105210,104433,102887,103106,104681,109366,110930,112646
